,range,count,Frequency1
0,"(0, 60]",30,0.5
1,"(60, 120]",11,0.18333333333333332
2,"(120, 180]",13,0.21666666666666667
3,"(180, 240]",0,0.0
4,"(240, 300]",1,0.016666666666666666
5,"(300, 360]",10,0.16666666666666666
6,"(360, 420]",1,0.016666666666666666
7,"(420, 480]",12,0.2
8,"(480, 540]",0,0.0
9,"(540, 600]",0,0.0
10,"(600, 660]",0,0.0
11,"(660, 720]",3,0.05
12,"(720, 780]",95,1.5833333333333333
13,"(780, 840]",26,0.43333333333333335
14,"(840, 900]",12,0.2
15,"(900, 960]",57,0.95
16,"(960, 1020]",2,0.03333333333333333
17,"(1020, 1080]",0,0.0
18,"(1080, 1140]",0,0.0
19,"(1140, 1200]",9,0.15
20,"(1200, 1260]",2,0.03333333333333333
21,"(1260, 1320]",2,0.03333333333333333
22,"(1320, 1380]",0,0.0
23,"(1380, 1440]",0,0.0
24,"(1440, 1500]",3,0.05
25,"(1500, 1560]",22,0.36666666666666664
26,"(1560, 1620]",20,0.3333333333333333
27,"(1620, 1680]",49,0.8166666666666667
28,"(1680, 1740]",48,0.8
29,"(1740, 1800]",12,0.2
30,"(1800, 1860]",5,0.08333333333333333
31,"(1860, 1920]",1,0.016666666666666666
32,"(1920, 1980]",0,0.0
33,"(1980, 2040]",0,0.0
34,"(2040, 2100]",0,0.0
35,"(2100, 2160]",4,0.06666666666666667
36,"(2160, 2220]",6,0.1
37,"(2220, 2280]",83,1.3833333333333333
38,"(2280, 2340]",1,0.016666666666666666
39,"(2340, 2400]",5,0.08333333333333333
40,"(2400, 2460]",1,0.016666666666666666
41,"(2460, 2520]",0,0.0
42,"(2520, 2580]",0,0.0
43,"(2580, 2640]",1,0.016666666666666666
44,"(2640, 2700]",50,0.8333333333333334
45,"(2700, 2760]",87,1.45
46,"(2760, 2820]",90,1.5
47,"(2820, 2880]",62,1.0333333333333334
48,"(2880, 2940]",47,0.7833333333333333
49,"(2940, 3000]",78,1.3
50,"(3000, 3060]",96,1.6
51,"(3060, 3120]",77,1.2833333333333334
52,"(3120, 3180]",70,1.1666666666666667
53,"(3180, 3240]",81,1.35
54,"(3240, 3300]",113,1.8833333333333333
55,"(3300, 3360]",118,1.9666666666666666
56,"(3360, 3420]",95,1.5833333333333333
57,"(3420, 3480]",87,1.45
58,"(3480, 3540]",135,2.25
59,"(3540, 3600]",149,2.4833333333333334
60,"(3600, 3660]",134,2.2333333333333334
61,"(3660, 3720]",190,3.1666666666666665
62,"(3720, 3780]",461,7.683333333333334
63,"(3780, 3840]",33,0.55
64,"(3840, 3900]",4,0.06666666666666667
65,"(3900, 3960]",7,0.11666666666666667
66,"(3960, 4020]",16,0.26666666666666666
67,"(4020, 4080]",3,0.05
68,"(4080, 4140]",28,0.4666666666666667
69,"(4140, 4200]",27,0.45
70,"(4200, 4260]",5,0.08333333333333333
71,"(4260, 4320]",2,0.03333333333333333
72,"(4320, 4380]",1,0.016666666666666666
73,"(4380, 4440]",4,0.06666666666666667
74,"(4440, 4500]",6,0.1
75,"(4500, 4560]",10,0.16666666666666666
76,"(4560, 4620]",17,0.2833333333333333
77,"(4620, 4680]",8,0.13333333333333333
78,"(4680, 4740]",5,0.08333333333333333
79,"(4740, 4800]",0,0.0
80,"(4800, 4860]",0,0.0
81,"(4860, 4920]",24,0.4
82,"(4920, 4980]",27,0.45
83,"(4980, 5040]",9,0.15
84,"(5040, 5100]",0,0.0
85,"(5100, 5160]",5,0.08333333333333333
86,"(5160, 5220]",0,0.0
87,"(5220, 5280]",6,0.1
88,"(5280, 5340]",0,0.0
89,"(5340, 5400]",1,0.016666666666666666
90,"(5400, 5460]",0,0.0
91,"(5460, 5520]",0,0.0
92,"(5520, 5580]",0,0.0
93,"(5580, 5640]",0,0.0
94,"(5640, 5700]",0,0.0
95,"(5700, 5760]",0,0.0
96,"(5760, 5820]",25,0.4166666666666667
97,"(5820, 5880]",10,0.16666666666666666
98,"(5880, 5940]",0,0.0
99,"(5940, 6000]",0,0.0
100,"(6000, 6060]",1,0.016666666666666666
101,"(6060, 6120]",0,0.0
102,"(6120, 6180]",0,0.0
103,"(6180, 6240]",0,0.0
104,"(6240, 6300]",0,0.0
105,"(6300, 6360]",1,0.016666666666666666
106,"(6360, 6420]",16,0.26666666666666666
107,"(6420, 6480]",6,0.1
108,"(6480, 6540]",93,1.55
109,"(6540, 6600]",4,0.06666666666666667
110,"(6600, 6660]",16,0.26666666666666666
111,"(6660, 6720]",7,0.11666666666666667
112,"(6720, 6780]",1,0.016666666666666666
113,"(6780, 6840]",31,0.5166666666666667
114,"(6840, 6900]",125,2.0833333333333335
115,"(6900, 6960]",62,1.0333333333333334
116,"(6960, 7020]",117,1.95
117,"(7020, 7080]",31,0.5166666666666667
118,"(7080, 7140]",38,0.6333333333333333
119,"(7140, 7200]",5,0.08333333333333333
120,"(7200, 7260]",0,0.0
121,"(7260, 7320]",56,0.9333333333333333
122,"(7320, 7380]",13,0.21666666666666667
123,"(7380, 7440]",25,0.4166666666666667
124,"(7440, 7500]",13,0.21666666666666667
125,"(7500, 7560]",41,0.6833333333333333
126,"(7560, 7620]",140,2.3333333333333335
127,"(7620, 7680]",47,0.7833333333333333
128,"(7680, 7740]",3,0.05
129,"(7740, 7800]",0,0.0
130,"(7800, 7860]",10,0.16666666666666666
131,"(7860, 7920]",13,0.21666666666666667
132,"(7920, 7980]",0,0.0
133,"(7980, 8040]",2,0.03333333333333333
134,"(8040, 8100]",0,0.0
135,"(8100, 8160]",0,0.0
136,"(8160, 8220]",0,0.0
137,"(8220, 8280]",0,0.0
138,"(8280, 8340]",0,0.0
139,"(8340, 8400]",82,1.3666666666666667
140,"(8400, 8460]",31,0.5166666666666667
141,"(8460, 8520]",36,0.6
142,"(8520, 8580]",3,0.05
143,"(8580, 8640]",18,0.3
144,"(8640, 8700]",0,0.0
145,"(8700, 8760]",43,0.7166666666666667
146,"(8760, 8820]",0,0.0
147,"(8820, 8880]",57,0.95
148,"(8880, 8940]",194,3.2333333333333334
149,"(8940, 9000]",12,0.2
150,"(9000, 9060]",69,1.15
151,"(9060, 9120]",167,2.783333333333333
152,"(9120, 9180]",138,2.3
153,"(9180, 9240]",63,1.05
154,"(9240, 9300]",87,1.45
155,"(9300, 9360]",42,0.7
156,"(9360, 9420]",41,0.6833333333333333
157,"(9420, 9480]",38,0.6333333333333333
158,"(9480, 9540]",15,0.25
159,"(9540, 9600]",103,1.7166666666666666
160,"(9600, 9660]",79,1.3166666666666667
161,"(9660, 9720]",23,0.38333333333333336
162,"(9720, 9780]",57,0.95
163,"(9780, 9840]",40,0.6666666666666666
164,"(9840, 9900]",204,3.4
165,"(9900, 9960]",37,0.6166666666666667
166,"(9960, 10020]",60,1.0
167,"(10020, 10080]",159,2.65
168,"(10080, 10140]",34,0.5666666666666667
169,"(10140, 10200]",36,0.6
170,"(10200, 10260]",15,0.25
171,"(10260, 10320]",27,0.45
172,"(10320, 10380]",6,0.1
173,"(10380, 10440]",0,0.0
174,"(10440, 10500]",0,0.0
175,"(10500, 10560]",0,0.0
176,"(10560, 10620]",0,0.0
177,"(10620, 10680]",0,0.0
178,"(10680, 10740]",0,0.0
179,"(10740, 10800]",16,0.26666666666666666
180,"(10800, 10860]",0,0.0
181,"(10860, 10920]",0,0.0
182,"(10920, 10980]",16,0.26666666666666666
183,"(10980, 11040]",92,1.5333333333333334
184,"(11040, 11100]",370,6.166666666666667
185,"(11100, 11160]",196,3.2666666666666666
186,"(11160, 11220]",258,4.3
187,"(11220, 11280]",78,1.3
188,"(11280, 11340]",48,0.8
189,"(11340, 11400]",13,0.21666666666666667
