,range,count,Frequency1
0,"(0, 60]",909,15.15
1,"(60, 120]",136,2.2666666666666666
2,"(120, 180]",28,0.4666666666666667
3,"(180, 240]",424,7.066666666666666
4,"(240, 300]",174,2.9
5,"(300, 360]",1289,21.483333333333334
6,"(360, 420]",754,12.566666666666666
7,"(420, 480]",926,15.433333333333334
8,"(480, 540]",55,0.9166666666666666
9,"(540, 600]",66,1.1
10,"(600, 660]",73,1.2166666666666666
11,"(660, 720]",575,9.583333333333334
12,"(720, 780]",1294,21.566666666666666
13,"(780, 840]",392,6.533333333333333
14,"(840, 900]",2046,34.1
15,"(900, 960]",2375,39.583333333333336
16,"(960, 1020]",3316,55.266666666666666
17,"(1020, 1080]",1566,26.1
18,"(1080, 1140]",1282,21.366666666666667
19,"(1140, 1200]",731,12.183333333333334
20,"(1200, 1260]",610,10.166666666666666
21,"(1260, 1320]",842,14.033333333333333
22,"(1320, 1380]",1737,28.95
23,"(1380, 1440]",1329,22.15
24,"(1440, 1500]",1183,19.716666666666665
25,"(1500, 1560]",632,10.533333333333333
26,"(1560, 1620]",185,3.0833333333333335
27,"(1620, 1680]",637,10.616666666666667
28,"(1680, 1740]",454,7.566666666666666
29,"(1740, 1800]",128,2.1333333333333333
30,"(1800, 1860]",920,15.333333333333334
31,"(1860, 1920]",1980,33.0
32,"(1920, 1980]",645,10.75
33,"(1980, 2040]",329,5.483333333333333
34,"(2040, 2100]",39,0.65
35,"(2100, 2160]",241,4.016666666666667
36,"(2160, 2220]",701,11.683333333333334
37,"(2220, 2280]",240,4.0
38,"(2280, 2340]",11,0.18333333333333332
39,"(2340, 2400]",611,10.183333333333334
40,"(2400, 2460]",857,14.283333333333333
41,"(2460, 2520]",2036,33.93333333333333
42,"(2520, 2580]",1795,29.916666666666668
43,"(2580, 2640]",2104,35.06666666666667
44,"(2640, 2700]",2211,36.85
45,"(2700, 2760]",1676,27.933333333333334
46,"(2760, 2820]",655,10.916666666666666
47,"(2820, 2880]",854,14.233333333333333
48,"(2880, 2940]",1817,30.283333333333335
49,"(2940, 3000]",718,11.966666666666667
50,"(3000, 3060]",1483,24.716666666666665
51,"(3060, 3120]",83,1.3833333333333333
52,"(3120, 3180]",126,2.1
53,"(3180, 3240]",397,6.616666666666666
54,"(3240, 3300]",176,2.933333333333333
55,"(3300, 3360]",1003,16.716666666666665
56,"(3360, 3420]",910,15.166666666666666
57,"(3420, 3480]",821,13.683333333333334
58,"(3480, 3540]",992,16.533333333333335
59,"(3540, 3600]",1461,24.35
60,"(3600, 3660]",695,11.583333333333334
61,"(3660, 3720]",651,10.85
62,"(3720, 3780]",93,1.55
63,"(3780, 3840]",1468,24.466666666666665
64,"(3840, 3900]",361,6.016666666666667
65,"(3900, 3960]",9,0.15
66,"(3960, 4020]",2,0.03333333333333333
67,"(4020, 4080]",1136,18.933333333333334
68,"(4080, 4140]",1365,22.75
69,"(4140, 4200]",1474,24.566666666666666
70,"(4200, 4260]",1792,29.866666666666667
71,"(4260, 4320]",574,9.566666666666666
72,"(4320, 4380]",1386,23.1
73,"(4380, 4440]",1981,33.016666666666666
74,"(4440, 4500]",2043,34.05
75,"(4500, 4560]",2207,36.78333333333333
76,"(4560, 4620]",2084,34.733333333333334
77,"(4620, 4680]",869,14.483333333333333
78,"(4680, 4740]",499,8.316666666666666
79,"(4740, 4800]",2065,34.416666666666664
80,"(4800, 4860]",2254,37.56666666666667
81,"(4860, 4920]",638,10.633333333333333
82,"(4920, 4980]",118,1.9666666666666666
83,"(4980, 5040]",39,0.65
84,"(5040, 5100]",877,14.616666666666667
85,"(5100, 5160]",377,6.283333333333333
86,"(5160, 5220]",694,11.566666666666666
87,"(5220, 5280]",128,2.1333333333333333
88,"(5280, 5340]",1007,16.783333333333335
89,"(5340, 5400]",374,6.233333333333333
90,"(5400, 5460]",222,3.7
91,"(5460, 5520]",53,0.8833333333333333
92,"(5520, 5580]",23,0.38333333333333336
93,"(5580, 5640]",35,0.5833333333333334
94,"(5640, 5700]",380,6.333333333333333
95,"(5700, 5760]",12,0.2
96,"(5760, 5820]",6,0.1
97,"(5820, 5880]",7,0.11666666666666667
98,"(5880, 5940]",3,0.05
99,"(5940, 6000]",5,0.08333333333333333
100,"(6000, 6060]",9,0.15
101,"(6060, 6120]",258,4.3
102,"(6120, 6180]",297,4.95
103,"(6180, 6240]",1,0.016666666666666666
104,"(6240, 6300]",60,1.0
105,"(6300, 6360]",3,0.05
106,"(6360, 6420]",1,0.016666666666666666
107,"(6420, 6480]",5,0.08333333333333333
108,"(6480, 6540]",0,0.0
109,"(6540, 6600]",1334,22.233333333333334
110,"(6600, 6660]",1308,21.8
111,"(6660, 6720]",1500,25.0
112,"(6720, 6780]",1183,19.716666666666665
113,"(6780, 6840]",1919,31.983333333333334
114,"(6840, 6900]",1735,28.916666666666668
115,"(6900, 6960]",1492,24.866666666666667
116,"(6960, 7020]",1071,17.85
